precinct;BG1;BG2;BG3;BG4;BG5;BG6
2306;60855104003;60855104001;60855104002;;;
2305;60855098012;60855104001;60855098011;;;
2313;60855104003;;;;;
7019;60855063043;;;;;
7020;60855063042;60855063043;60855063041;;;
7021;60855063044;;;;;
7039;60855062021;;;;;
7040;60855062021;;;;;
7062;60855062022;;;;;
8863;60855119111;;;;;
8864;60855119111;;;;;
8867;60855119111;;;;;
5854;60855119112;;;;;
8862;60855119112;;;;;
7060;60855062023;;;;;
7061;60855062023;;;;;
7063;60855062024;;;;;
7064;60855062024;;;;;
5903;60855119112;;;;;
5908;60855119112;;;;;
6023;60855119112;;;;;
8914;60855119113;;;;;
5927;60855119113;;;;;
5902;60855119113;;;;;
5905;60855119113;;;;;
5910;60855119113;;;;;
8898;60855119113;;;;;
7045;60855063051;;;;;
7041;60855063053;;;;;
7042;60855063054;;;;;
7043;60855063055;;;;;
7044;60855063054;60855063052;60855063051;;;
3426;60855094032;;;;;
8646;60855030031;;;;;
2001;60855117071;;;;;
2124;60855117071;;;;;
2126;60855117071;;;;;
2127;60855117071;;;;;
2128;60855117071;;;;;
2131;60855117071;;;;;
2352;60855117071;;;;;
2539;60855117071;;;;;
2540;60855117071;;;;;
2541;60855117071;;;;;
2808;60855117071;;;;;
2810;60855117071;;;;;
2811;60855117071;;;;;
2813;60855117071;;;;;
2814;60855117071;;;;;
2816;60855117071;;;;;
2826;60855117071;;;;;
2872;60855117071;;;;;
2873;60855117071;;;;;
2874;60855117071;;;;;
2875;60855117071;;;;;
5747;60855117071;;;;;
5750;60855117071;;;;;
6665;60855117071;;;;;
6666;60855117071;;;;;
6667;60855117071;;;;;
6668;60855117071;;;;;
6672;60855117071;;;;;
6673;60855117071;;;;;
6675;60855117071;;;;;
6680;60855117071;;;;;
6669;60855117072;;;;;
7004;60855062031;;;;;
7005;60855062031;;;;;
8663;60855030032;;;;;
8664;60855030032;;;;;
7002;60855062033;;;;;
8662;60855030033;;;;;
2047;60855114001;60855114002;60855114003;;;
2046;60855114001;60855114002;60855114003;60855114001;60855114002;60855114003
2048;60855114001;60855114002;60855114003;60855114004;;
2049;60855114001;60855114002;60855114003;60855114004;;
8900;60855119121;;;;;
8897;60855119122;;;;;
8899;60855119121;60855119123;60855119113;;;
7003;60855062033;;;;;
8647;60855030034;60855030031;60855030032;;;
8645;60855030035;;;;;
8912;60855119123;;;;;
8604;60855029011;;;;;
8608;60855029012;;;;;
8913;60855119123;;;;;
2043;60855114004;;;;;
8627;60855029014;;;;;
8628;60855029014;;;;;
8603;60855029014;;;;;
8607;60855029015;;;;;
2341;60855103001;;;;;
2321;60855103002;;;;;
7012;60855062041;;;;;
7013;60855062042;;;;;
2767;60855071001;;;;;
3406;60855094043;;;;;
2323;60855103002;;;;;
2289;60855103002;60855117011;60855117012;;;
2772;60855071002;;;;;
2769;60855071003;;;;;
2768;60855071002;60855071001;60855072032;;;
3459;60855094044;;;;;
2349;60855103003;;;;;
8879;60855119132;;;;;
8880;60855119132;;;;;
7015;60855062044;;;;;
7018;60855062044;;;;;
7017;60855062044;;;;;
3479;60855094045;;;;;
3481;60855094045;;;;;
8857;60855119132;;;;;
8858;60855119132;;;;;
7014;60855062044;;;;;
7016;60855062045;;;;;
2018;60855093021;;;;;
3402;60855093021;;;;;
3403;60855093021;;;;;
2013;60855093022;;;;;
8104;60855029021;;;;;
8610;60855029021;;;;;
8611;60855029022;;;;;
8878;60855119133;;;;;
8617;60855029022;;;;;
8629;60855029023;;;;;
8630;60855029023;;;;;
8618;60855029024;;;;;
8619;60855029024;;;;;
2724;60855072031;;;;;
2726;60855072031;;;;;
2770;60855072032;;;;;
2776;60855072032;;;;;
3792;60855072032;;;;;
2750;60855072033;;;;;
5814;60855028001;;;;;
5815;60855028002;;;;;
8638;60855028003;;;;;
5804;60855028003;;;;;
8657;60855028003;60855028002;60855028001;;;
8881;60855119141;;;;;
8882;60855119142;;;;;
8859;60855119142;;;;;
8860;60855119142;;;;;
8861;60855119142;;;;;
8883;60855119143;;;;;
3493;60855093032;60855093031;60855093033;;;
3477;60855093032;60855093033;60855093034;;;
8620;60855029032;;;;;
3478;60855093033;60855093034;60855093021;;;
8642;60855029034;;;;;
3407;60855092011;;;;;
3414;60855092011;60855092012;60855092014;;;
3465;60855092013;;;;;
3411;60855092014;;;;;
2953;60855092014;;;;;
8834;60855119152;;;;;
8835;60855119152;;;;;
8836;60855119152;;;;;
8833;60855119151;60855119152;60855119162;;;
8837;60855119152;;;;;
2022;60855093041;;;;;
3494;60855093042;;;;;
2314;60855102001;;;;;
2316;60855102001;;;;;
2543;60855116082;;;;;
3492;60855093043;;;;;
2326;60855102003;;;;;
2342;60855102003;;;;;
2549;60855116083;;;;;
2551;60855116082;60855117051;60855117071;;;
2348;60855102003;;;;;
2803;60855102004;;;;;
2056;60855113011;;;;;
2053;60855113012;;;;;
2142;60855113011;60855113021;60855113022;60855113023;;
2758;60855072051;60855072052;60855072054;60855072066;;
2745;60855072052;;;;;
3839;60855072052;;;;;
3415;60855092021;;;;;
3476;60855092022;;;;;
2730;60855072053;;;;;
2740;60855072054;;;;;
2728;60855072054;;;;;
2747;60855072055;;;;;
3409;60855092024;;;;;
3475;60855092023;60855092024;60855092022;;;
8701;60855119162;;;;;
8832;60855119162;;;;;
8856;60855119162;;;;;
2002;60855116091;;;;;
2004;60855116091;;;;;
2008;60855116091;;;;;
2024;60855116092;;;;;
8008;60855059004;;;;;
2753;60855070011;;;;;
2735;60855070012;;;;;
2761;60855070012;;;;;
3782;60855070012;;;;;
3786;60855070012;;;;;
3787;60855070012;;;;;
3788;60855070012;;;;;
3789;60855070012;;;;;
3791;60855070012;;;;;
5758;60855070012;;;;;
5761;60855070012;;;;;
5763;60855070012;;;;;
5765;60855070012;;;;;
5766;60855070012;;;;;
5767;60855070012;;;;;
5771;60855070012;;;;;
5776;60855070012;;;;;
5781;60855070012;;;;;
5786;60855070012;;;;;
2734;60855070013;;;;;
2763;60855070013;;;;;
2766;60855070013;;;;;
5770;60855070013;;;;;
2755;60855070013;;;;;
2756;60855070013;;;;;
2729;60855070013;;;;;
5768;60855070012;60855073022;60855073021;;;
2057;60855113021;60855113022;60855113023;;;
2062;60855113021;60855113022;60855113023;;;
2777;60855070014;;;;;
2725;60855072061;;;;;
3784;60855072061;;;;;
5760;60855072061;;;;;
5859;60855072062;;;;;
3793;60855072062;;;;;
3781;60855072062;;;;;
3785;60855072062;;;;;
2779;60855070014;60855070021;60855070022;;;
3790;60855072062;;;;;
3783;60855072063;;;;;
2061;60855113023;;;;;
2068;60855112002;;;;;
2069;60855112002;;;;;
2076;60855112001;60855112002;60855112003;;;
2065;60855112001;60855112002;60855112003;60855112004;;
8606;60855027012;;;;;
3848;60855027012;;;;;
8605;60855027012;;;;;
8601;60855027012;;;;;
3843;60855027012;;;;;
8626;60855027012;;;;;
2075;60855112004;;;;;
8668;60855029061;;;;;
2774;60855070022;;;;;
2775;60855070022;;;;;
2778;60855070022;;;;;
8688;60855029063;;;;;
8700;60855029062;60855029063;60855119161;;;
2731;60855070022;;;;;
2752;60855070022;;;;;
5782;60855070022;;;;;
5788;60855070022;;;;;
5789;60855070022;;;;;
5762;60855070023;;;;;
2738;60855070023;;;;;
5787;60855070023;;;;;
2351;60855101001;;;;;
2359;60855101002;;;;;
8702;60855069001;60855069002;60855069003;;;
8703;60855069002;;;;;
2356;60855101002;;;;;
2746;60855069003;;;;;
2355;60855101003;;;;;
2721;60855069003;;;;;
2722;60855069003;;;;;
2727;60855069003;;;;;
2732;60855069003;;;;;
2733;60855069003;;;;;
2737;60855069003;;;;;
2739;60855069003;;;;;
5783;60855069003;;;;;
2748;60855069004;;;;;
2743;60855069003;60855068014;60855068041;60855068042;;
2754;60855069005;;;;;
2780;60855069005;;;;;
2741;60855069004;60855068011;60855068013;60855068014;;
8011;60855005005;;;;;
3840;60855027021;;;;;
3845;60855027021;;;;;
3846;60855027021;;;;;
8637;60855027022;;;;;
8012;60855005005;;;;;
8013;60855005005;;;;;
5811;60855027023;;;;;
5810;60855027024;;;;;
8652;60855027024;;;;;
8643;60855029071;;;;;
8644;60855029072;;;;;
8650;60855027024;;;;;
8651;60855027025;;;;;
8661;60855029072;;;;;
8654;60855027025;;;;;
8656;60855027025;;;;;
8653;60855027026;;;;;
8004;60855058001;60855058004;60855058003;;;
8010;60855058003;60855058001;60855058002;;;
8009;60855058004;;;;;
8003;60855058005;;;;;
8639;60855029082;;;;;
8640;60855029082;;;;;
8641;60855029081;60855029083;60855029082;;;
2078;60855111001;;;;;
2081;60855111001;;;;;
2086;60855111002;;;;;
2951;60855047002;;;;;
3469;60855047002;;;;;
8659;60855029082;;;;;
8660;60855029082;;;;;
3808;60855026011;60855026012;60855026032;6085502603;;
3801;60855026012;;;;;
3807;60855026012;;;;;
8658;60855029084;;;;;
2090;60855111004;;;;;
2091;60855111004;;;;;
2096;60855111004;;;;;
2095;60855111004;;;;;
8669;60855029091;;;;;
8670;60855029092;;;;;
8671;60855029093;;;;;
8672;60855029094;;;;;
8674;60855029093;60855029104;60855029103;;;
8673;60855029094;;;;;
3464;60855100012;;;;;
3467;60855100011;60855099021;60855099023;;;
2757;60855068011;;;;;
2771;60855068011;60855068012;60855068013;;;
7001;60855080044;;;;;
3470;60855091052;;;;;
2345;60855100013;;;;;
2343;60855100013;;;;;
2751;60855068012;;;;;
2759;60855068012;;;;;
3847;60855068012;;;;;
2749;60855068013;;;;;
3460;60855091052;;;;;
8689;60855029101;;;;;
8690;60855029102;;;;;
2357;60855100014;;;;;
5777;60855068014;;;;;
5775;60855068014;;;;;
5778;60855068014;;;;;
3489;60855091054;;;;;
3491;60855091054;;;;;
8691;60855029103;;;;;
5774;60855068014;;;;;
2723;60855068014;60855069004;60855069003;;;
2330;60855100016;;;;;
2333;60855100017;;;;;
3806;60855026033;;;;;
8602;60855026033;;;;;
2102;60855110002;;;;;
2101;60855110001;60855110003;60855110004;;;
2098;60855110003;;;;;
2129;60855110003;;;;;
2107;60855110004;;;;;
2106;60855110005;;;;;
2339;60855100021;;;;;
2344;60855100022;;;;;
2762;60855068021;;;;;
8680;60855068021;;;;;
8681;60855068022;;;;;
8682;60855068021;60855068022;60855068023;;;
2336;60855100023;;;;;
8683;60855068022;60855068023;60855068024;60855068025;;
2317;60855100023;;;;;
2335;60855100024;;;;;
5813;60855068024;;;;;
8684;60855068025;;;;;
3816;60855026041;;;;;
3826;60855026042;;;;;
3813;60855026042;;;;;
3844;60855026043;;;;;
2144;60855046011;;;;;
2952;60855046011;;;;;
8686;60855068031;;;;;
8685;60855068032;;;;;
8698;60855068033;;;;;
8687;60855068034;;;;;
8699;60855068034;;;;;
8696;60855068035;;;;;
8697;60855068035;;;;;
4680;60855079042;;;;;
7059;60855079042;;;;;
7038;60855079043;;;;;
2334;60855099011;;;;;
3446;60855099011;;;;;
3447;60855099011;;;;;
3436;60855099012;;;;;
7092;60855067011;;;;;
3455;60855099012;;;;;
3832;60855067012;;;;;
7091;60855067013;;;;;
3828;60855067013;;;;;
3835;60855067013;;;;;
7093;60855067013;;;;;
2034;60855109001;;;;;
2038;60855109002;;;;;
8838;60855120521;;;;;
8840;60855120521;;;;;
2773;60855068041;;;;;
3418;60855091082;;;;;
2028;60855109002;;;;;
2033;60855109002;;;;;
2026;60855109003;;;;;
8694;60855068042;60855068043;60855068041;;;
3413;60855091083;;;;;
8842;60855120523;;;;;
2744;60855068044;;;;;
8695;60855068045;;;;;
2764;60855068044;60855068043;60855068023;60855068042;;
3462;60855099021;;;;;
3439;60855099022;;;;;
3440;60855099021;60855099022;60855099023;;;
3827;60855067021;;;;;
3838;60855067021;;;;;
3850;60855067021;;;;;
3854;60855067021;;;;;
3834;60855067022;;;;;
3837;60855067022;;;;;
8692;60855120271;;;;;
8675;60855120272;;;;;
3818;60855067023;;;;;
2542;60855130001;;;;;
2550;60855130001;;;;;
2552;60855130001;;;;;
2555;60855130001;;;;;
2544;60855130003;;;;;
2548;60855130003;60855130002;60855130001;60855116081;;
3412;60855091091;;;;;
3487;60855091091;60855091082;60855091081;;;
3416;60855091092;;;;;
3410;60855091092;;;;;
3420;60855091092;;;;;
3814;60855067031;;;;;
3815;60855067031;;;;;
2742;60855067032;;;;;
2765;60855067034;;;;;
3437;60855098011;;;;;
3431;60855098012;;;;;
3441;60855098011;60855098013;60855098014;;;
7066;60855066012;;;;;
3428;60855098012;;;;;
3823;60855066012;;;;;
2315;60855098013;;;;;
7065;60855066014;;;;;
7076;60855066014;;;;;
3434;60855098014;;;;;
3435;60855098014;;;;;
4729;60855077023;;;;;
4732;60855077023;;;;;
6624;60855077023;;;;;
4669;60855076001;;;;;
4671;60855076001;;;;;
4728;60855076001;;;;;
4730;60855076001;;;;;
4733;60855076001;;;;;
4737;60855076001;;;;;
6625;60855076001;;;;;
6678;60855076002;;;;;
4704;60855076002;;;;;
4697;60855076001;60855076002;60855076003;;;
4715;60855076001;60855076002;60855076003;60855076004;;
4701;60855076002;;;;;
4665;60855076002;;;;;
4666;60855076002;;;;;
4667;60855076002;;;;;
4698;60855076002;;;;;
4734;60855076002;;;;;
4735;60855076002;;;;;
4668;60855076003;;;;;
4670;60855076003;;;;;
4714;60855076003;;;;;
4719;60855076003;;;;;
4727;60855076003;;;;;
4689;60855076004;;;;;
4738;60855076004;;;;;
4723;60855076004;;;;;
2338;60855078052;;;;;
3438;60855098021;;;;;
3443;60855098021;;;;;
3442;60855098022;;;;;
2353;60855077031;;;;;
2812;60855077032;;;;;
3669;60855077032;;;;;
3458;60855097001;;;;;
3445;60855097003;;;;;
3457;60855097003;;;;;
2117;60855108011;;;;;
2110;60855108012;;;;;
2116;60855108012;;;;;
2118;60855108013;;;;;
2112;60855108013;;;;;
2114;60855108013;;;;;
8068;60855023022;;;;;
7083;60855066031;;;;;
3819;60855066032;;;;;
7086;60855066032;;;;;
7085;60855066033;;;;;
5743;60855118001;;;;;
5744;60855118001;;;;;
5745;60855118001;;;;;
5748;60855118001;;;;;
5749;60855118001;;;;;
5751;60855118001;;;;;
5754;60855118001;;;;;
3842;60855066033;;;;;
7081;60855066033;;;;;
7082;60855066034;;;;;
7084;60855066033;60855066031;60855066032;;;
5757;60855118002;;;;;
5752;60855118003;;;;;
5742;60855118003;;;;;
5753;60855118003;;;;;
5756;60855118003;;;;;
5792;60855118003;;;;;
5794;60855118003;;;;;
5795;60855118003;;;;;
5907;60855118003;;;;;
5755;60855118004;;;;;
5784;60855118004;;;;;
3804;60855065012;;;;;
7073;60855065012;;;;;
7074;60855065012;;;;;
7072;60855065012;;;;;
2017;60855108022;;;;;
2020;60855108022;;;;;
2010;60855107002;;;;;
3841;60855066041;;;;;
7078;60855066041;;;;;
4691;60855075001;;;;;
4706;60855075001;;;;;
4688;60855075001;60855075002;60855075004;;;
4703;60855075002;;;;;
4725;60855075002;;;;;
4726;60855075003;;;;;
4687;60855075003;;;;;
4717;60855075002;60855075003;60855075004;;;
2015;60855107003;;;;;
3833;60855066043;;;;;
7087;60855066043;;;;;
7088;60855066043;;;;;
7080;60855066043;60855066042;60855066032;;;
3831;60855066044;;;;;
4695;60855075003;;;;;
4708;60855075003;;;;;
8053;60855022011;;;;;
8065;60855022011;;;;;
7089;60855066044;;;;;
7090;60855066044;;;;;
8064;60855022013;;;;;
8075;60855022013;;;;;
3805;60855065022;;;;;
3825;60855065022;;;;;
3853;60855065022;;;;;
4675;60855066045;;;;;
7079;60855066045;60855066042;60855066043;;;
2019;60855108032;;;;;
2025;60855108032;;;;;
3803;60855065023;;;;;
3809;60855065023;;;;;
3849;60855065023;;;;;
3852;60855065023;;;;;
3419;60855096001;;;;;
3471;60855096001;;;;;
3472;60855096001;;;;;
3417;60855096002;;;;;
7069;60855066051;;;;;
7070;60855066051;;;;;
7071;60855066051;;;;;
3821;60855066052;;;;;
7067;60855066053;;;;;
7068;60855066053;;;;;
8076;60855022022;;;;;
8077;60855022022;;;;;
8083;60855022023;;;;;
3812;60855065031;;;;;
3817;60855065032;;;;;
3811;60855065032;;;;;
3856;60855065032;;;;;
3810;60855065033;;;;;
8892;60855119051;;;;;
8893;60855119051;;;;;
7024;60855064011;;;;;
7025;60855064011;;;;;
7026;60855064011;;;;;
7027;60855064011;;;;;
8030;60855064012;;;;;
8031;60855064012;;;;;
8032;60855064012;;;;;
3822;60855066062;;;;;
3820;60855066062;;;;;
3824;60855066063;;;;;
2113;60855106002;;;;;
2119;60855106002;;;;;
2122;60855106002;;;;;
2115;60855106002;60855106003;60855117051;;;
2016;60855106004;;;;;
2120;60855117011;;;;;
2130;60855117011;;;;;
2279;60855117011;;;;;
2297;60855117011;;;;;
2299;60855117011;;;;;
2312;60855117011;;;;;
2295;60855117012;;;;;
8047;60855021011;;;;;
8048;60855021011;;;;;
5567;60855021012;;;;;
8059;60855021011;60855021012;60855021013;;;
2123;60855106005;;;;;
2278;60855117012;;;;;
2288;60855117012;;;;;
2293;60855117012;;;;;
2298;60855117012;;;;;
2346;60855117012;;;;;
2350;60855117013;;;;;
2014;60855117013;;;;;
2291;60855117013;60855117012;60855117011;;;
7050;60855064022;;;;;
3802;60855064021;60855064022;60855064024;;;
7049;60855064022;;;;;
3836;60855021013;;;;;
3851;60855021013;;;;;
8060;60855021013;;;;;
8061;60855021013;;;;;
3829;60855064022;;;;;
7075;60855064024;;;;;
3452;60855095003;;;;;
3408;60855095003;;;;;
3423;60855095003;;;;;
4709;60855074011;;;;;
4696;60855074012;;;;;
4712;60855074012;;;;;
4721;60855074012;;;;;
4705;60855074012;60855074013;60855074015;;;
2331;60855117021;;;;;
2802;60855117021;;;;;
2824;60855117021;;;;;
2833;60855117022;;;;;
4699;60855074013;;;;;
4724;60855074014;;;;;
8050;60855021021;;;;;
8128;60855021021;;;;;
8049;60855021022;;;;;
4710;60855074015;;;;;
4718;60855074015;;;;;
8051;60855021022;;;;;
8052;60855021022;;;;;
8884;60855119072;;;;;
8063;60855021023;;;;;
8894;60855119072;;;;;
8895;60855119072;;;;;
8885;60855119073;;;;;
8896;60855119073;;;;;
8062;60855021025;;;;;
7006;60855063011;;;;;
7007;60855063012;;;;;
7008;60855063012;;;;;
7009;60855063014;;;;;
7010;60855063014;;;;;
4720;60855074022;;;;;
4677;60855074022;;;;;
4678;60855074022;;;;;
4674;60855074022;;;;;
4686;60855074022;;;;;
7077;60855074022;60855066045;60855066041;;;
4683;60855074023;;;;;
4702;60855074023;;;;;
2301;60855105002;;;;;
2308;60855105001;60855105002;60855105003;;;
2354;60855105003;;;;;
2309;60855105003;;;;;
2310;60855105004;;;;;
2340;60855105004;;;;;
2311;60855105004;;;;;
6528;60855020011;;;;;
8035;60855020011;;;;;
8037;60855020012;;;;;
6506;60855020012;;;;;
8034;60855020013;;;;;
8036;60855020012;60855020011;60855020014;;;
8033;60855020013;;;;;
7048;60855063021;;;;;
5557;60855020013;;;;;
5561;60855020013;;;;;
7046;60855063022;;;;;
7047;60855063022;;;;;
5559;60855020014;;;;;
8039;60855020015;;;;;
7022;60855063023;;;;;
7023;60855063023;;;;;
2287;60855117042;;;;;
2285;60855117042;;;;;
2281;60855117042;;;;;
2283;60855117042;;;;;
2284;60855117043;;;;;
2290;60855117042;60855117041;60855117043;60855117071;;
2282;60855117043;;;;;
2274;60855117043;;;;;
2276;60855117043;;;;;
2277;60855117043;;;;;
2280;60855117043;;;;;
2286;60855117043;;;;;
2292;60855117043;;;;;
2296;60855117043;;;;;
2876;60855117043;;;;;
2275;60855117044;;;;;
2834;60855117044;;;;;
2871;60855117044;;;;;
5901;60855119091;;;;;
8876;60855119091;;;;;
8877;60855119091;;;;;
8886;60855119091;;;;;
8887;60855119091;;;;;
8888;60855119091;;;;;
8901;60855119091;;;;;
8903;60855119091;;;;;
8889;60855119092;;;;;
4713;60855073012;;;;;
4676;60855073011;60855073012;60855073015;;;
6027;60855119092;;;;;
6001;60855119092;60855119112;60855119122;;;
8911;60855119093;;;;;
8909;60855119093;;;;;
8910;60855119093;;;;;
8908;60855119092;60855119093;60855119051;;;
4707;60855073012;;;;;
4690;60855073012;60855073013;60855073014;;;
8905;60855119093;;;;;
8906;60855119093;;;;;
8907;60855119093;;;;;
8904;60855119094;;;;;
4693;60855073014;;;;;
4711;60855073013;60855073015;60855073016;;;
5556;60855020022;;;;;
8042;60855020022;;;;;
4684;60855073016;;;;;
4685;60855073016;;;;;
4740;60855073016;;;;;
5558;60855020023;;;;;
5560;60855020023;;;;;
8040;60855020024;;;;;
8041;60855020024;;;;;
2003;60855115001;;;;;
2011;60855115002;;;;;
2009;60855115002;;;;;
2012;60855094012;;;;;
2005;60855115003;;;;;
2007;60855115004;;;;;
2103;60855117051;;;;;
2108;60855117051;;;;;
2006;60855094012;;;;;
2125;60855094012;;;;;
3427;60855094013;;;;;
3480;60855094013;;;;;
2545;60855115004;;;;;
2546;60855115005;;;;;
2547;60855115005;;;;;
8890;60855119102;;;;;
4681;60855073021;;;;;
4692;60855073021;;;;;
4716;60855073021;;;;;
4736;60855073021;;;;;
6670;60855073021;;;;;
6671;60855073021;;;;;
6674;60855073021;;;;;
4679;60855073022;;;;;
4694;60855073022;;;;;
8891;60855119103;;;;;
4672;60855073022;;;;;
4673;60855073022;;;;;
4731;60855073022;;;;;
5759;60855073022;;;;;
6677;60855073022;;;;;
6676;60855073023;;;;;
8902;60855119103;;;;;
